id,flightNo,date,departure,destination,weekday,month
131,PABE43068,2017-11-29,Paris,Berlin,Wednesday,November
132,PARO43068,2017-11-29,Paris,Rome,Wednesday,November
133,LODU43068,2017-11-29,London,Dublin,Wednesday,November
134,LOBE43068,2017-11-29,London,Berlin,Wednesday,November
135,LORO43068,2017-11-29,London,Rome,Wednesday,November
136,LOPA43068,2017-11-29,London,Paris,Wednesday,November
137,DUBE43068,2017-11-29,Dublin,Berlin,Wednesday,November
138,DURO43068,2017-11-29,Dublin,Rome,Wednesday,November
139,DUPA43068,2017-11-29,Dublin,Paris,Wednesday,November
140,DULO43068,2017-11-29,Dublin,London,Wednesday,November
141,BERO43069,2017-11-30,Berlin,Rome,Thursday,November
142,BEPA43069,2017-11-30,Berlin,Paris,Thursday,November
143,BELO43069,2017-11-30,Berlin,London,Thursday,November
144,BEDU43069,2017-11-30,Berlin,Dublin,Thursday,November
145,ROBE43069,2017-11-30,Rome,Berlin,Thursday,November
146,ROPA43069,2017-11-30,Rome,Paris,Thursday,November
147,ROLO43069,2017-11-30,Rome,London,Thursday,November
148,RODU43069,2017-11-30,Rome,Dublin,Thursday,November
149,PALO43069,2017-11-30,Paris,London,Thursday,November
150,PADU43069,2017-11-30,Paris,Dublin,Thursday,November
151,PABE43069,2017-11-30,Paris,Berlin,Thursday,November
152,PARO43069,2017-11-30,Paris,Rome,Thursday,November
153,LODU43069,2017-11-30,London,Dublin,Thursday,November
154,LOBE43069,2017-11-30,London,Berlin,Thursday,November
155,LORO43069,2017-11-30,London,Rome,Thursday,November
156,LOPA43069,2017-11-30,London,Paris,Thursday,November
157,DUBE43069,2017-11-30,Dublin,Berlin,Thursday,November
158,DURO43069,2017-11-30,Dublin,Rome,Thursday,November
159,DUPA43069,2017-11-30,Dublin,Paris,Thursday,November
160,DULO43069,2017-11-30,Dublin,London,Thursday,November
161,BERO43070,2017-12-01,Berlin,Rome,Friday,December
162,BEPA43070,2017-12-01,Berlin,Paris,Friday,December
163,BELO43070,2017-12-01,Berlin,London,Friday,December
164,BEDU43070,2017-12-01,Berlin,Dublin,Friday,December
165,ROBE43070,2017-12-01,Rome,Berlin,Friday,December
166,ROPA43070,2017-12-01,Rome,Paris,Friday,December
167,ROLO43070,2017-12-01,Rome,London,Friday,December
168,RODU43070,2017-12-01,Rome,Dublin,Friday,December
169,PALO43070,2017-12-01,Paris,London,Friday,December
170,PADU43070,2017-12-01,Paris,Dublin,Friday,December
171,PABE43070,2017-12-01,Paris,Berlin,Friday,December
172,PARO43070,2017-12-01,Paris,Rome,Friday,December
173,LODU43070,2017-12-01,London,Dublin,Friday,December
174,LOBE43070,2017-12-01,London,Berlin,Friday,December
175,LORO43070,2017-12-01,London,Rome,Friday,December
176,LOPA43070,2017-12-01,London,Paris,Friday,December
177,DUBE43070,2017-12-01,Dublin,Berlin,Friday,December
178,DURO43070,2017-12-01,Dublin,Rome,Friday,December
179,DUPA43070,2017-12-01,Dublin,Paris,Friday,December
180,DULO43070,2017-12-01,Dublin,London,Friday,December
181,BERO43071,2017-12-02,Berlin,Rome,Saturday,December
182,BEPA43071,2017-12-02,Berlin,Paris,Saturday,December
183,BELO43071,2017-12-02,Berlin,London,Saturday,December
184,BEDU43071,2017-12-02,Berlin,Dublin,Saturday,December
185,ROBE43071,2017-12-02,Rome,Berlin,Saturday,December
186,ROPA43071,2017-12-02,Rome,Paris,Saturday,December
187,ROLO43071,2017-12-02,Rome,London,Saturday,December
188,RODU43071,2017-12-02,Rome,Dublin,Saturday,December
189,PALO43071,2017-12-02,Paris,London,Saturday,December
190,PADU43071,2017-12-02,Paris,Dublin,Saturday,December
191,PABE43071,2017-12-02,Paris,Berlin,Saturday,December
192,PARO43071,2017-12-02,Paris,Rome,Saturday,December
193,LODU43071,2017-12-02,London,Dublin,Saturday,December
194,LOBE43071,2017-12-02,London,Berlin,Saturday,December
195,LORO43071,2017-12-02,London,Rome,Saturday,December
196,LOPA43071,2017-12-02,London,Paris,Saturday,December
197,DUBE43071,2017-12-02,Dublin,Berlin,Saturday,December
198,DURO43071,2017-12-02,Dublin,Rome,Saturday,December
199,DUPA43071,2017-12-02,Dublin,Paris,Saturday,December
200,DULO43071,2017-12-02,Dublin,London,Saturday,December
201,BERO43072,2017-12-03,Berlin,Rome,Sunday,December
202,BEPA43072,2017-12-03,Berlin,Paris,Sunday,December
203,BELO43072,2017-12-03,Berlin,London,Sunday,December
204,BEDU43072,2017-12-03,Berlin,Dublin,Sunday,December
205,ROBE43072,2017-12-03,Rome,Berlin,Sunday,December
206,ROPA43072,2017-12-03,Rome,Paris,Sunday,December
207,ROLO43072,2017-12-03,Rome,London,Sunday,December
208,RODU43072,2017-12-03,Rome,Dublin,Sunday,December
209,PALO43072,2017-12-03,Paris,London,Sunday,December
210,PADU43072,2017-12-03,Paris,Dublin,Sunday,December
211,PABE43072,2017-12-03,Paris,Berlin,Sunday,December
212,PARO43072,2017-12-03,Paris,Rome,Sunday,December
213,LODU43072,2017-12-03,London,Dublin,Sunday,December
214,LOBE43072,2017-12-03,London,Berlin,Sunday,December
215,LORO43072,2017-12-03,London,Rome,Sunday,December
216,LOPA43072,2017-12-03,London,Paris,Sunday,December
217,DUBE43072,2017-12-03,Dublin,Berlin,Sunday,December
218,DURO43072,2017-12-03,Dublin,Rome,Sunday,December
219,DUPA43072,2017-12-03,Dublin,Paris,Sunday,December
220,DULO43072,2017-12-03,Dublin,London,Sunday,December
221,BERO43073,2017-12-04,Berlin,Rome,Monday,December
222,BEPA43073,2017-12-04,Berlin,Paris,Monday,December
223,BELO43073,2017-12-04,Berlin,London,Monday,December
224,BEDU43073,2017-12-04,Berlin,Dublin,Monday,December
225,ROBE43073,2017-12-04,Rome,Berlin,Monday,December
226,ROPA43073,2017-12-04,Rome,Paris,Monday,December
227,ROLO43073,2017-12-04,Rome,London,Monday,December
228,RODU43073,2017-12-04,Rome,Dublin,Monday,December
229,PALO43073,2017-12-04,Paris,London,Monday,December
230,PADU43073,2017-12-04,Paris,Dublin,Monday,December
231,PABE43073,2017-12-04,Paris,Berlin,Monday,December
232,PARO43073,2017-12-04,Paris,Rome,Monday,December
233,LODU43073,2017-12-04,London,Dublin,Monday,December
234,LOBE43073,2017-12-04,London,Berlin,Monday,December
235,LORO43073,2017-12-04,London,Rome,Monday,December
236,LOPA43073,2017-12-04,London,Paris,Monday,December
237,DUBE43073,2017-12-04,Dublin,Berlin,Monday,December
238,DURO43073,2017-12-04,Dublin,Rome,Monday,December
239,DUPA43073,2017-12-04,Dublin,Paris,Monday,December
240,DULO43073,2017-12-04,Dublin,London,Monday,December
241,BERO43074,2017-12-05,Berlin,Rome,Tuesday,December
242,BEPA43074,2017-12-05,Berlin,Paris,Tuesday,December
243,BELO43074,2017-12-05,Berlin,London,Tuesday,December
244,BEDU43074,2017-12-05,Berlin,Dublin,Tuesday,December
245,ROBE43074,2017-12-05,Rome,Berlin,Tuesday,December
246,ROPA43074,2017-12-05,Rome,Paris,Tuesday,December
247,ROLO43074,2017-12-05,Rome,London,Tuesday,December
248,RODU43074,2017-12-05,Rome,Dublin,Tuesday,December
249,PALO43074,2017-12-05,Paris,London,Tuesday,December
250,PADU43074,2017-12-05,Paris,Dublin,Tuesday,December
251,PABE43074,2017-12-05,Paris,Berlin,Tuesday,December
252,PARO43074,2017-12-05,Paris,Rome,Tuesday,December
253,LODU43074,2017-12-05,London,Dublin,Tuesday,December
254,LOBE43074,2017-12-05,London,Berlin,Tuesday,December
255,LORO43074,2017-12-05,London,Rome,Tuesday,December
256,LOPA43074,2017-12-05,London,Paris,Tuesday,December
257,DUBE43074,2017-12-05,Dublin,Berlin,Tuesday,December
258,DURO43074,2017-12-05,Dublin,Rome,Tuesday,December
259,DUPA43074,2017-12-05,Dublin,Paris,Tuesday,December
260,DULO43074,2017-12-05,Dublin,London,Tuesday,December
261,BERO43075,2017-12-06,Berlin,Rome,Wednesday,December
262,BEPA43075,2017-12-06,Berlin,Paris,Wednesday,December
263,BELO43075,2017-12-06,Berlin,London,Wednesday,December
264,BEDU43075,2017-12-06,Berlin,Dublin,Wednesday,December
265,ROBE43075,2017-12-06,Rome,Berlin,Wednesday,December
266,ROPA43075,2017-12-06,Rome,Paris,Wednesday,December
267,ROLO43075,2017-12-06,Rome,London,Wednesday,December
268,RODU43075,2017-12-06,Rome,Dublin,Wednesday,December
269,PALO43075,2017-12-06,Paris,London,Wednesday,December
270,PADU43075,2017-12-06,Paris,Dublin,Wednesday,December
271,PABE43075,2017-12-06,Paris,Berlin,Wednesday,December
272,PARO43075,2017-12-06,Paris,Rome,Wednesday,December
273,LODU43075,2017-12-06,London,Dublin,Wednesday,December
274,LOBE43075,2017-12-06,London,Berlin,Wednesday,December
275,LORO43075,2017-12-06,London,Rome,Wednesday,December
276,LOPA43075,2017-12-06,London,Paris,Wednesday,December
277,DUBE43075,2017-12-06,Dublin,Berlin,Wednesday,December
278,DURO43075,2017-12-06,Dublin,Rome,Wednesday,December
279,DUPA43075,2017-12-06,Dublin,Paris,Wednesday,December
280,DULO43075,2017-12-06,Dublin,London,Wednesday,December
281,BERO43076,2017-12-07,Berlin,Rome,Thursday,December
282,BEPA43076,2017-12-07,Berlin,Paris,Thursday,December
283,BELO43076,2017-12-07,Berlin,London,Thursday,December
284,BEDU43076,2017-12-07,Berlin,Dublin,Thursday,December
285,ROBE43076,2017-12-07,Rome,Berlin,Thursday,December
286,ROPA43076,2017-12-07,Rome,Paris,Thursday,December
287,ROLO43076,2017-12-07,Rome,London,Thursday,December
288,RODU43076,2017-12-07,Rome,Dublin,Thursday,December
289,PALO43076,2017-12-07,Paris,London,Thursday,December
290,PADU43076,2017-12-07,Paris,Dublin,Thursday,December
291,PABE43076,2017-12-07,Paris,Berlin,Thursday,December
292,PARO43076,2017-12-07,Paris,Rome,Thursday,December
293,LODU43076,2017-12-07,London,Dublin,Thursday,December
294,LOBE43076,2017-12-07,London,Berlin,Thursday,December
295,LORO43076,2017-12-07,London,Rome,Thursday,December
296,LOPA43076,2017-12-07,London,Paris,Thursday,December
297,DUBE43076,2017-12-07,Dublin,Berlin,Thursday,December
298,DURO43076,2017-12-07,Dublin,Rome,Thursday,December
299,DUPA43076,2017-12-07,Dublin,Paris,Thursday,December
300,DULO43076,2017-12-07,Dublin,London,Thursday,December
301,BERO43077,2017-12-08,Berlin,Rome,Friday,December
302,BEPA43077,2017-12-08,Berlin,Paris,Friday,December
303,BELO43077,2017-12-08,Berlin,London,Friday,December
304,BEDU43077,2017-12-08,Berlin,Dublin,Friday,December
305,ROBE43077,2017-12-08,Rome,Berlin,Friday,December
306,ROPA43077,2017-12-08,Rome,Paris,Friday,December
307,ROLO43077,2017-12-08,Rome,London,Friday,December
308,RODU43077,2017-12-08,Rome,Dublin,Friday,December
309,PALO43077,2017-12-08,Paris,London,Friday,December
310,PADU43077,2017-12-08,Paris,Dublin,Friday,December
311,PABE43077,2017-12-08,Paris,Berlin,Friday,December
312,PARO43077,2017-12-08,Paris,Rome,Friday,December
313,LODU43077,2017-12-08,London,Dublin,Friday,December
314,LOBE43077,2017-12-08,London,Berlin,Friday,December
315,LORO43077,2017-12-08,London,Rome,Friday,December
316,LOPA43077,2017-12-08,London,Paris,Friday,December
317,DUBE43077,2017-12-08,Dublin,Berlin,Friday,December
318,DURO43077,2017-12-08,Dublin,Rome,Friday,December
319,DUPA43077,2017-12-08,Dublin,Paris,Friday,December
320,DULO43077,2017-12-08,Dublin,London,Friday,December
321,BERO43078,2017-12-09,Berlin,Rome,Saturday,December
322,BEPA43078,2017-12-09,Berlin,Paris,Saturday,December
323,BELO43078,2017-12-09,Berlin,London,Saturday,December
324,BEDU43078,2017-12-09,Berlin,Dublin,Saturday,December
325,ROBE43078,2017-12-09,Rome,Berlin,Saturday,December
326,ROPA43078,2017-12-09,Rome,Paris,Saturday,December
327,ROLO43078,2017-12-09,Rome,London,Saturday,December
328,RODU43078,2017-12-09,Rome,Dublin,Saturday,December
329,PALO43078,2017-12-09,Paris,London,Saturday,December
330,PADU43078,2017-12-09,Paris,Dublin,Saturday,December
331,PABE43078,2017-12-09,Paris,Berlin,Saturday,December
332,PARO43078,2017-12-09,Paris,Rome,Saturday,December
333,LODU43078,2017-12-09,London,Dublin,Saturday,December
334,LOBE43078,2017-12-09,London,Berlin,Saturday,December
335,LORO43078,2017-12-09,London,Rome,Saturday,December
336,LOPA43078,2017-12-09,London,Paris,Saturday,December
337,DUBE43078,2017-12-09,Dublin,Berlin,Saturday,December
338,DURO43078,2017-12-09,Dublin,Rome,Saturday,December
339,DUPA43078,2017-12-09,Dublin,Paris,Saturday,December
340,DULO43078,2017-12-09,Dublin,London,Saturday,December
341,BERO43079,2017-12-10,Berlin,Rome,Sunday,December
342,BEPA43079,2017-12-10,Berlin,Paris,Sunday,December
343,BELO43079,2017-12-10,Berlin,London,Sunday,December
344,BEDU43079,2017-12-10,Berlin,Dublin,Sunday,December
345,ROBE43079,2017-12-10,Rome,Berlin,Sunday,December
346,ROPA43079,2017-12-10,Rome,Paris,Sunday,December
347,ROLO43079,2017-12-10,Rome,London,Sunday,December
348,RODU43079,2017-12-10,Rome,Dublin,Sunday,December
349,PALO43079,2017-12-10,Paris,London,Sunday,December
350,PADU43079,2017-12-10,Paris,Dublin,Sunday,December
351,PABE43079,2017-12-10,Paris,Berlin,Sunday,December
352,PARO43079,2017-12-10,Paris,Rome,Sunday,December
353,LODU43079,2017-12-10,London,Dublin,Sunday,December
354,LOBE43079,2017-12-10,London,Berlin,Sunday,December
355,LORO43079,2017-12-10,London,Rome,Sunday,December
356,LOPA43079,2017-12-10,London,Paris,Sunday,December
357,DUBE43079,2017-12-10,Dublin,Berlin,Sunday,December
358,DURO43079,2017-12-10,Dublin,Rome,Sunday,December
359,DUPA43079,2017-12-10,Dublin,Paris,Sunday,December
360,DULO43079,2017-12-10,Dublin,London,Sunday,December
361,BERO43080,2017-12-11,Berlin,Rome,Monday,December
362,BEPA43080,2017-12-11,Berlin,Paris,Monday,December
363,BELO43080,2017-12-11,Berlin,London,Monday,December
364,BEDU43080,2017-12-11,Berlin,Dublin,Monday,December
365,ROBE43080,2017-12-11,Rome,Berlin,Monday,December
366,ROPA43080,2017-12-11,Rome,Paris,Monday,December
367,ROLO43080,2017-12-11,Rome,London,Monday,December
368,RODU43080,2017-12-11,Rome,Dublin,Monday,December
369,PALO43080,2017-12-11,Paris,London,Monday,December
370,PADU43080,2017-12-11,Paris,Dublin,Monday,December
371,PABE43080,2017-12-11,Paris,Berlin,Monday,December
372,PARO43080,2017-12-11,Paris,Rome,Monday,December
373,LODU43080,2017-12-11,London,Dublin,Monday,December
374,LOBE43080,2017-12-11,London,Berlin,Monday,December
375,LORO43080,2017-12-11,London,Rome,Monday,December
376,LOPA43080,2017-12-11,London,Paris,Monday,December
377,DUBE43080,2017-12-11,Dublin,Berlin,Monday,December
378,DURO43080,2017-12-11,Dublin,Rome,Monday,December
379,DUPA43080,2017-12-11,Dublin,Paris,Monday,December
380,DULO43080,2017-12-11,Dublin,London,Monday,December
381,BERO43081,2017-12-12,Berlin,Rome,Tuesday,December
382,BEPA43081,2017-12-12,Berlin,Paris,Tuesday,December
383,BELO43081,2017-12-12,Berlin,London,Tuesday,December
384,BEDU43081,2017-12-12,Berlin,Dublin,Tuesday,December
385,ROBE43081,2017-12-12,Rome,Berlin,Tuesday,December
386,ROPA43081,2017-12-12,Rome,Paris,Tuesday,December
387,ROLO43081,2017-12-12,Rome,London,Tuesday,December
388,RODU43081,2017-12-12,Rome,Dublin,Tuesday,December
389,PALO43081,2017-12-12,Paris,London,Tuesday,December
390,PADU43081,2017-12-12,Paris,Dublin,Tuesday,December
391,PABE43081,2017-12-12,Paris,Berlin,Tuesday,December
392,PARO43081,2017-12-12,Paris,Rome,Tuesday,December
393,LODU43081,2017-12-12,London,Dublin,Tuesday,December
394,LOBE43081,2017-12-12,London,Berlin,Tuesday,December
395,LORO43081,2017-12-12,London,Rome,Tuesday,December
396,LOPA43081,2017-12-12,London,Paris,Tuesday,December
397,DUBE43081,2017-12-12,Dublin,Berlin,Tuesday,December
398,DURO43081,2017-12-12,Dublin,Rome,Tuesday,December
399,DUPA43081,2017-12-12,Dublin,Paris,Tuesday,December
400,DULO43081,2017-12-12,Dublin,London,Tuesday,December
401,BERO43082,2017-12-13,Berlin,Rome,Wednesday,December
402,BEPA43082,2017-12-13,Berlin,Paris,Wednesday,December
403,BELO43082,2017-12-13,Berlin,London,Wednesday,December
404,BEDU43082,2017-12-13,Berlin,Dublin,Wednesday,December
405,ROBE43082,2017-12-13,Rome,Berlin,Wednesday,December
406,ROPA43082,2017-12-13,Rome,Paris,Wednesday,December
407,ROLO43082,2017-12-13,Rome,London,Wednesday,December
408,RODU43082,2017-12-13,Rome,Dublin,Wednesday,December
409,PALO43082,2017-12-13,Paris,London,Wednesday,December
410,PADU43082,2017-12-13,Paris,Dublin,Wednesday,December
411,PABE43082,2017-12-13,Paris,Berlin,Wednesday,December
412,PARO43082,2017-12-13,Paris,Rome,Wednesday,December
413,LODU43082,2017-12-13,London,Dublin,Wednesday,December
414,LOBE43082,2017-12-13,London,Berlin,Wednesday,December
415,LORO43082,2017-12-13,London,Rome,Wednesday,December
416,LOPA43082,2017-12-13,London,Paris,Wednesday,December
417,DUBE43082,2017-12-13,Dublin,Berlin,Wednesday,December
418,DURO43082,2017-12-13,Dublin,Rome,Wednesday,December
419,DUPA43082,2017-12-13,Dublin,Paris,Wednesday,December
420,DULO43082,2017-12-13,Dublin,London,Wednesday,December
421,BERO43083,2017-12-14,Berlin,Rome,Thursday,December
422,BEPA43083,2017-12-14,Berlin,Paris,Thursday,December
423,BELO43083,2017-12-14,Berlin,London,Thursday,December
424,BEDU43083,2017-12-14,Berlin,Dublin,Thursday,December
425,ROBE43083,2017-12-14,Rome,Berlin,Thursday,December
426,ROPA43083,2017-12-14,Rome,Paris,Thursday,December
427,ROLO43083,2017-12-14,Rome,London,Thursday,December
428,RODU43083,2017-12-14,Rome,Dublin,Thursday,December
429,PALO43083,2017-12-14,Paris,London,Thursday,December
430,PADU43083,2017-12-14,Paris,Dublin,Thursday,December
431,PABE43083,2017-12-14,Paris,Berlin,Thursday,December
432,PARO43083,2017-12-14,Paris,Rome,Thursday,December
433,LODU43083,2017-12-14,London,Dublin,Thursday,December
434,LOBE43083,2017-12-14,London,Berlin,Thursday,December
435,LORO43083,2017-12-14,London,Rome,Thursday,December
436,LOPA43083,2017-12-14,London,Paris,Thursday,December
437,DUBE43083,2017-12-14,Dublin,Berlin,Thursday,December
438,DURO43083,2017-12-14,Dublin,Rome,Thursday,December
439,DUPA43083,2017-12-14,Dublin,Paris,Thursday,December
440,DULO43083,2017-12-14,Dublin,London,Thursday,December
441,BERO43084,2017-12-15,Berlin,Rome,Friday,December
442,BEPA43084,2017-12-15,Berlin,Paris,Friday,December
443,BELO43084,2017-12-15,Berlin,London,Friday,December
444,BEDU43084,2017-12-15,Berlin,Dublin,Friday,December
445,ROBE43084,2017-12-15,Rome,Berlin,Friday,December
446,ROPA43084,2017-12-15,Rome,Paris,Friday,December
447,ROLO43084,2017-12-15,Rome,London,Friday,December
448,RODU43084,2017-12-15,Rome,Dublin,Friday,December
449,PALO43084,2017-12-15,Paris,London,Friday,December
450,PADU43084,2017-12-15,Paris,Dublin,Friday,December
451,PABE43084,2017-12-15,Paris,Berlin,Friday,December
452,PARO43084,2017-12-15,Paris,Rome,Friday,December
453,LODU43084,2017-12-15,London,Dublin,Friday,December
454,LOBE43084,2017-12-15,London,Berlin,Friday,December
455,LORO43084,2017-12-15,London,Rome,Friday,December
456,LOPA43084,2017-12-15,London,Paris,Friday,December
457,DUBE43084,2017-12-15,Dublin,Berlin,Friday,December
458,DURO43084,2017-12-15,Dublin,Rome,Friday,December
